iso3,crop_reduction_year2
AFG,-100.0
ALB,-95.37786817349811
DZA,12.01245884811172
AGO,-69.96306652360072
ARG,-77.45789467370527
ARM,-100.0
AUS,-2.89278562494145
AZE,-100.0
BHR,-100.0
BGD,-98.58738388240587
BRB,-100.0
BLR,-100.0
BEN,-68.78672385341399
BTN,-99.5349254416934
BOL,-76.12360570899543
BIH,-99.67652943650772
BWA,-77.72683090380447
BRA,-68.44731828555126
BRN,-100.0
BFA,-71.909789634557
MMR,-99.89233805287931
BDI,-73.25716869240951
CPV,-100.0
KHM,-96.8157327289437
CMR,-90.81003512767192
CAN,-100.0
CAF,-90.21618998302876
TCD,-68.27517527566523
CHL,-62.38394719539978
CHN,-99.71669716737847
COL,-84.7724239404593
COD,-78.58377019934962
COG,-79.8831845245464
CRI,95.24084214039043
CIV,-91.6695826751968
CUB,-69.27150593973177
DJI,-92.83961092160771
DOM,-29.76006617188921
ECU,-75.55744438862665
EGY,-74.5879647247151
SLV,-81.84239213874194
ERI,-55.016229511490664
SWT,-64.01045499672132
ETH,-85.85142104344483
FJI,-100.0
GAB,-75.64191830451448
GMB,382.3558228742794
GEO,-100.0
GHA,-74.20588991226644
GTM,-74.17990795806206
GIN,-81.818770033276
GNB,-15.37003094566546
GUY,-3.10458207795129
HTI,58.48546241532977
HND,-67.86054120768613
IND,-73.81187957747765
IDN,-65.25917136937287
IRN,-97.29122710329058
IRQ,-68.15066542119783
ISR,-81.43672052194103
JAM,-17.01537889
JPN,-99.94976296087223
JOR,-90.69577719591204
KAZ,-100.0
KEN,-89.74742621381472
KOR,-100.0
PRK,-100.0
KWT,-61.220269259162094
KGZ,-100.0
LAO,-99.87209393392286
LBN,-74.7521332646351
LSO,-95.6423226953386
LBR,-80.9525485655086
LBY,66.8
MDG,-63.7277981543087
MWI,-71.45524471716139
MYS,-76.28115934395508
MLI,-77.30673828967072
MRT,-74.39260054772923
MUS,-100.0
MEX,-95.42464211564337
MDA,-100.0
MNG,-100.0
MAR,-48.01663787538986
MOZ,-65.69053733948283
NAM,-71.053192096223
NPL,-98.7873361695422
NZL,-73.76756206996518
NIC,-74.40877571716037
NER,-82.21412417034122
NGA,-79.84351529211561
MKD,-100.0
NOR,-100.0
OMN,940.7444522742503
PAK,-72.59590451377038
PAN,108.69379114092006
PNG,-100.0
PRY,-76.75873451216542
PER,-75.3422397454318
PHL,-53.200798805798186
QAT,-100.0
RUS,-100.0
RWA,-73.8383716991777
SAU,22.26972631050813
SEN,-35.25806242880282
SRB,-100.0
SLE,-79.70532401044329
SGP,-77.19649029190293
SOM,36.49377353244997
ZAF,-88.96513437655216
SSD,-93.02666802526238
LKA,-18.957581547220258
SDN,-78.01696951452423
SUR,47.32321530502247
CHE,-100.0
SYR,-89.69175062296247
TWN,-99.71669716737847
TJK,-100.0
TZA,-84.58434395262712
THA,-99.54693087954882
TGO,-62.46284540877704
TTO,-100.0
TUN,16.6
TUR,-96.19892198548659
TKM,-100.0
UGA,-92.46726853518032
UKR,-100.0
ARE,-88.84779808239922
USA,-99.58379259570208
URY,-67.68707006636816
UZB,-100.0
VEN,-74.89464915895387
VNM,-98.89060800029976
YEM,-65.04485978548017
ZMB,-75.76925607092845
ZWE,-71.68945766158217
AUT,-100.0
BEL,-100.0
BGR,-100.0
HRV,-99.68427255372572
CYP,-6.79
CZE,-100.0
DNK,-100.0
EST,-100.0
FIN,-100.0
FRA,-99.56338987180045
DEU,-100.0
GRC,-84.88119525143675
HUN,-100.0
IRL,-100.0
ITA,-91.52150538026936
LVA,-100.0
LTU,-100.0
LUX,-100.0
MLT,-100.0
NLD,-100.0
POL,-100.0
PRT,-85.00484951395863
ROU,-100.0
SVK,-100.0
SVN,-100.0
ESP,-84.90716345196518
SWE,-100.0
GBR,-100.0
