iso3,crop_reduction_year4
AFG,-90.12951307013348
ALB,-84.30907879950674
DZA,67.46911777826516
AGO,-98.26703458538316
ARG,-84.79519313244803
ARM,-99.97451269129088
AUS,-28.10348143659636
AZE,-99.54318164853686
BHR,30.842722412420798
BGD,-60.45470152086024
BRB,-100.0
BLR,-100.0
BEN,-77.11459791256922
BTN,-97.68991251486914
BOL,-88.17760180443702
BIH,-97.2033364296882
BWA,-93.78233115059273
BRA,-84.99898694140515
BRN,-100.0
BFA,-73.05290307642977
MMR,-99.32437134014704
BDI,-74.4620670105197
CPV,-100.0
KHM,-96.93361327521363
CMR,-89.99716643595752
CAN,-100.0
CAF,-98.79136763453934
TCD,-83.37691137811679
CHL,-64.16613056761571
CHN,-98.9900071205584
COL,-92.171969288074
COD,-93.97543928695849
COG,-92.90923799244308
CRI,21.60631319585588
CIV,-93.63149743851352
CUB,-79.1762294861134
DJI,-70.31843961695989
DOM,-80.72623055784945
ECU,-98.67815718201744
EGY,-67.40725350704078
SLV,-80.83244414838819
ERI,-60.88678856062727
SWT,-82.47462621169952
ETH,-86.1030020982169
FJI,-100.0
GAB,-91.56569502583824
GMB,6.701593397580501
GEO,-98.72230743518739
GHA,-79.49035969805499
GTM,-81.72378608853221
GIN,-90.60755538101766
GNB,-74.94888304503326
GUY,-83.06259176483674
HTI,48.60169054642393
HND,-85.10348437017332
IND,-63.49851532364248
IDN,-81.31961988223988
IRN,-82.1759120983437
IRQ,0.7470739558745599
ISR,-68.51920730849852
JAM,62.59661840619889
JPN,-99.85933629044229
JOR,-78.81708497515898
KAZ,-99.94445314678993
KEN,-87.73217349009522
KOR,-100.0
PRK,-100.0
KWT,145.85623939769076
KGZ,-100.0
LAO,-97.05314364505084
LBN,-47.51695680412517
LSO,-93.3208649182344
LBR,-89.36919365113332
LBY,182.0
MDG,-94.76262033369368
MWI,-97.29567041360968
MYS,-82.68375266839077
MLI,-68.50275840539244
MRT,144.7067320667856
MUS,-100.0
MEX,-94.35811564709584
MDA,-99.99999999999996
MNG,-100.0
MAR,-30.974685998952538
MOZ,-85.43263262277637
NAM,-99.06007319960848
NPL,-93.08330749950477
NZL,-78.31239174173413
NIC,-89.90777878937922
NER,-78.48613998110751
NGA,-86.31305647213023
MKD,-95.6305539978879
NOR,-100.0
OMN,1229.2929145122466
PAK,-64.19033613058605
PAN,29.48605321377571
PNG,-100.0
PRY,-86.47855567125553
PER,-96.51546879243887
PHL,-85.00395324395983
QAT,193.707757570456
RUS,-99.90647920098924
RWA,-76.68447581231521
SAU,108.49081126072416
SEN,-53.13611948402045
SRB,-99.9441173354262
SLE,-92.08697814062776
SGP,-79.88612894827655
SOM,-1.6511649320596602
ZAF,-91.76363730545788
SSD,-95.49167271296608
LKA,-81.61280801111079
SDN,-74.21563804796448
SUR,-55.883685497592936
CHE,-99.99999999999996
SYR,-43.78186219374897
TWN,-98.9900071205584
TJK,-100.0
TZA,-89.94336377749096
THA,-98.5927805351578
TGO,-67.84799321410065
TTO,-100.0
TUN,32.29999999999999
TUR,-83.1256207576903
TKM,-94.65699828915476
UGA,-82.52453272384545
UKR,-99.97062607610674
ARE,396.72648005360327
USA,-98.38874896324631
URY,-66.59900404254206
UZB,-99.79168614560197
VEN,-74.92633680263305
VNM,-86.59025612862101
YEM,-52.127197170777706
ZMB,-97.59305502994924
ZWE,-93.67226931134567
AUT,-100.0
BEL,-100.0
BGR,-100.0
HRV,-97.74264869547628
CYP,120.0
CZE,-100.0
DNK,-100.0
EST,-100.0
FIN,-100.0
FRA,-97.87785153879982
DEU,-100.0
GRC,-67.05530722019152
HUN,-100.0
IRL,-100.0
ITA,-85.52133669554972
LVA,-100.0
LTU,-100.0
LUX,-100.0
MLT,-100.0
NLD,-100.0
POL,-100.0
PRT,-66.8618087451529
ROU,-100.0
SVK,-100.0
SVN,-100.0
ESP,-59.07787439435283
SWE,-100.0
GBR,-100.0
