iso3,crop_reduction_year8
AFG,-21.57338053641576
ALB,-52.84334585925075
DZA,54.081616986015256
AGO,-71.54367960820825
ARG,-58.40163904960017
ARM,-23.85230622663079
AUS,-42.06313716571756
AZE,-19.35541999357192
BHR,-100.0
BGD,-71.22398957110003
BRB,-100.0
BLR,-52.70820929876368
BEN,-28.238053739239284
BTN,-97.2898430602261
BOL,-64.91080346960258
BIH,-60.23053645141273
BWA,-45.09324243995591
BRA,-55.431968411212665
BRN,-100.0
BFA,-9.975704746976689
MMR,-87.81422402580128
BDI,-77.9444009321582
CPV,-100.0
KHM,21.4713023622425
CMR,-44.22185790711962
CAN,-81.14859451734175
CAF,-54.70465310501408
TCD,-8.19959742251138
CHL,-41.7917520108874
CHN,-82.59776603421916
COL,-53.954791846355846
COD,-64.68285678918217
COG,-50.30455917988571
CRI,198.6672536362492
CIV,-54.24246910283384
CUB,-6.72911548412901
DJI,-69.95340122152126
DOM,26.254898464443947
ECU,-56.23817369758826
EGY,-8.05550587056274
SLV,18.03133942370618
ERI,6.49952194571322
SWT,-25.242625693735647
ETH,-62.440786324889544
FJI,-100.0
GAB,-53.29160419927103
GMB,-47.73934691912088
GEO,-43.496779145111404
GHA,-25.79585272583051
GTM,-9.69626593249227
GIN,-19.38184492115116
GNB,-2.2913257468694903
GUY,27.0621571937524
HTI,367.8752940947169
HND,-1.36554937422475
IND,-25.14923154140854
IDN,-33.67781875796564
IRN,-23.99808452365534
IRQ,-25.71379950916229
ISR,-5.659183973442071
JAM,243.35727333937695
JPN,-88.8617278952091
JOR,-20.75870753432806
KAZ,-40.22981950558939
KEN,-59.07780739401684
KOR,-93.10537564074563
PRK,-99.2182822199007
KWT,-27.71397240637209
KGZ,-35.86827338570584
LAO,-61.447984863005864
LBN,-19.582475544064202
LSO,-65.52159475965881
LBR,-46.758880513407505
LBY,-27.0167794067792
MDG,-56.6296306315741
MWI,-61.01989112051168
MYS,-26.57774117563933
MLI,-15.364542887667671
MRT,-8.95308504461729
MUS,-100.0
MEX,-51.266011134774004
MDA,-74.15165558049304
MNG,-35.67088702428462
MAR,-21.45363304597233
MOZ,-41.16803529130928
NAM,-59.24044982539892
NPL,-50.546638860849114
NZL,-24.78418423580129
NIC,-20.56094850748183
NER,-2.47212733974768
NGA,-35.10710369358271
MKD,-53.63469271869289
NOR,-98.55433410590396
OMN,-19.43966845111142
PAK,-18.615541377336932
PAN,251.0139767918817
PNG,-100.0
PRY,-59.6075279939929
PER,-60.336876579771946
PHL,-32.67974793406131
QAT,-99.99999999999987
RUS,-78.41229741731227
RWA,-83.11550559404115
SAU,42.506250430447416
SEN,-9.2738151111959
SRB,-76.9478354350185
SLE,-44.72819631561204
SGP,-21.19645042368848
SOM,67.2399021767254
ZAF,-57.78852966194523
SSD,-45.93663443930292
LKA,-5.44610114792315
SDN,26.89540601276063
SUR,35.87227021504571
CHE,-41.63370709238199
SYR,-30.268336378637862
TWN,-82.59776603421916
TJK,-15.009607668163518
TZA,-74.03651114439066
THA,-30.09161856811688
TGO,-31.56465763463061
TTO,-100.0
TUN,-29.234331167848097
TUR,-42.77979391891495
TKM,-34.907917566409594
UGA,-56.72407492590965
UKR,-67.14296807603762
ARE,-61.20868891236901
USA,-64.8361662188622
URY,-63.86838567970582
UZB,-25.252232502065457
VEN,-12.01913782367736
VNM,-54.157048950892786
YEM,15.81574055118304
ZMB,-64.89989840456371
ZWE,-33.781730872021086
AUT,-62.941956823582615
BEL,-68.09451462116327
BGR,-66.55703914611694
HRV,-51.349670410757355
CYP,-19.012741924199698
CZE,-42.438856206231016
DNK,-28.195267755043552
EST,-88.34586652570198
FIN,-100.0
FRA,-42.24935322614962
DEU,-54.253796658194666
GRC,-40.4801608533802
HUN,-64.37486174751952
IRL,-55.984814591774615
ITA,-32.36897315535958
LVA,-81.8541979104417
LTU,-81.57865877122855
LUX,-52.63355973082157
MLT,-100.0
NLD,-81.04825320770863
POL,-41.86727535768951
PRT,-1.80251081854004
ROU,-76.32406793370353
SVK,-53.60273293991278
SVN,-57.88938672195767
ESP,29.277818161921545
SWE,-90.82371064078926
GBR,-52.95990994023969
