Country/Territory,2022
Aruba,0.7197311500708262
Andorra,0.7779953956604003
Afghanistan,0.15680112044016517
Angola,0.3428551395734151
Anguilla,0.7007524323463439
Albania,0.49683910757303235
United Arab Emirates,0.6300085008144379
Argentina,0.4542069219363232
Armenia,0.4605736566707492
American Samoa,0.6930548747380575
Antigua and Barbuda,0.5832320466637612
Australia,0.7983798384666444
Austria,0.7586625258127849
Azerbaijan,0.3606019484500091
Burundi,0.2472509860992432
Belgium,0.7397627512613932
Benin,0.4354314006865025
Burkina Faso,0.35329432462652527
Bangladesh,0.32626298467318215
Bulgaria,0.5105411762992541
Bahrain,0.5121560802062353
"Bahamas, The",0.6140042175849278
Bosnia and Herzegovina,0.40074513107538223
Belarus,0.28653931021690365
Belize,0.47354940523703887
Bermuda,0.7075527095794678
Bolivia,0.35179972648620605
Brazil,0.4417371561129888
Barbados,0.660973675052325
Brunei Darussalam,0.6679723024368287
Bhutan,0.6126901527245839
South Sudan,0.08954220612843831
Botswana,0.6245953639348348
Central African Republic,0.18317761023839316
Canada,0.7892248551050822
Switzerland,0.8402627269426982
Chile,0.6425139966110388
China,0.4333497367799282
Côte d'Ivoire,0.42477333893378577
Cameroon,0.2848353723684947
"Congo, Rep.",0.29013941716402764
Cook Islands,0.5525231746335825
Colombia,0.46302042376870906
Comoros,0.28199508239825566
Cape Verde,0.6150123712296286
Costa Rica,0.6182264971236389
Cuba,0.39662843768795336
Cayman Islands,0.6976204931735993
Cyprus,0.6254145423571269
Czech Republic,0.703216117620468
Germany,0.7729311406612397
Djibouti,0.32077415982882185
Dominica,0.6203116270403067
Denmark,0.8529221534729005
Dominican Republic,0.5036364821096262
Algeria,0.3402429421742757
Ecuador,0.42560675988594693
"Egypt, Arab Rep.",0.34721015195051824
Eritrea,0.16654968857765196
Spain,0.6493805428345998
Estonia,0.759820725520452
Ethiopia,0.30517771740754446
Finland,0.841091372569402
Fiji,0.5618995353579521
France,0.7079132825136186
"Micronesia, Fed. Sts.",0.6110059350728988
Gabon,0.3624614134430886
United Kingdom,0.752564134200414
Georgia,0.5682044312357902
Ghana,0.49884603930016364
Guinea,0.29870545069376625
"Gambia, The",0.42957457602024074
Guinea-Bissau,0.2921052396297455
Equatorial Guinea,0.248666890958945
Greece,0.5764161381870508
Grenada,0.6072324452300867
Greenland,0.7503830313682555
Guatemala,0.3545458287000656
French Guiana,0.6998872905969621
Guam,0.6871915817260742
Guyana,0.46052774737278623
"Hong Kong",0.7091583728790282
Honduras,0.35284102459748584
Croatia,0.5941916704177856
Haiti,0.20079876581827802
Hungary,0.5773171059787273
Indonesia,0.49070629427830376
India,0.4865023934592803
Ireland,0.7907319724559784
"Iran, Islamic Rep.",0.24452850421269734
Iraq,0.20439887444178262
Iceland,0.7942150274912517
Israel,0.6186053097248078
Italy,0.6089530358711879
Jamaica,0.5555883289625247
Jordan,0.4850188826521238
Japan,0.7749236583709717
Kazakhstan,0.434964322236677
Kenya,0.4028343056639035
Kyrgyz Republic,0.32769394119580586
Cambodia,0.3495037954300642
Kiribati,0.5991558964053789
St. Kitts and Nevis,0.619237893819809
"Korea, Rep.",0.694585806131363
Kuwait,0.5108345794181028
Lao PDR,0.3597677926222483
Lebanon,0.26917299826939906
Liberia,0.3476202813287576
Libya,0.14138415654500325
St. Lucia,0.6098612738152345
Liechtenstein,0.8189420421918233
Sri Lanka,0.41792753177384534
Lesotho,0.4188713744282722
Lithuania,0.693935610850652
Luxembourg,0.8286519765853883
Latvia,0.6631027847528458
Kosovo,0.44920272355278335
"Macao SAR, China",0.6728666762510934
Morocco,0.4448658987879753
Monaco,0.7706207017103831
Moldova,0.45308809652924537
Madagascar,0.34758040507634475
Maldives,0.4734525919581453
Mexico,0.39595382908980054
Marshall Islands,0.6035176431139311
North Macedonia,0.5076573590437571
Mali,0.26362246076265966
Malta,0.6498186116417249
Myanmar,0.1793301860491435
Mongolia,0.47842937906583144
Montenegro,0.5161928024142981
Mozambique,0.3269049346446991
Mauritania,0.3514665404955546
Martinique,0.6550641489028931
Mauritius,0.6521951148907345
Malawi,0.41686508332689604
Malaysia,0.5862207929215704
Namibia,0.5587318136977653
Niger,0.35717826684315995
Nigeria,0.28002715309460957
Nicaragua,0.2918312788009643
Niue,0.6094015404582024
Netherlands,0.8041839003562927
Norway,0.8308026274045308
Nepal,0.40500112002094585
Nauru,0.5765406237294277
New Zealand,0.8350969990094503
Oman,0.5129886009419957
Pakistan,0.308364067475001
Panama,0.49471546858549115
Palau,0.6536271651585897
Peru,0.43522758098940056
Philippines,0.44328189964095754
Papua New Guinea,0.3858292579650879
Poland,0.6004912664492925
Puerto Rico,0.5666741713881492
"Korea, Dem. Rep.",0.18142217298348748
Portugal,0.6907090167204539
Paraguay,0.4191271117112289
Qatar,0.6213400820891063
Réunion,0.6400540482997894
Romania,0.5612266060950787
Russian Federation,0.29357685049374904
Rwanda,0.5067547333116332
Samoa,0.6195391575495401
Saudi Arabia,0.49320860604445144
Sudan,0.18505290349324546
Senegal,0.48075417560370015
Singapore,0.8214566923677923
Solomon Islands,0.46110081225633626
Sierra Leone,0.37200057680408166
El Salvador,0.4102836812535922
San Marino,0.7589689334233602
Somalia,0.09254319667816162
São Tomé and Principe,0.4609835296869278
Suriname,0.44989743183056513
Slovak Republic,0.613159408668677
Slovenia,0.6727710942427317
Sweden,0.8143314480781555
Eswatini,0.3615642363826434
Seychelles,0.6500783731540044
Syrian Arab Republic,0.09625304142634072
Chad,0.2202388525009155
Togo,0.370429668823878
Thailand,0.4634237065911293
