nation-name,27tg
Afghanistan,-23.75
Albania,37.1
Algeria,50.0
Angola,14.0
Argentina,-5.96
Armenia,-14.36
Australia,4.74
Austria,-30.87
Azerbaijan,-14.81
Bangladesh,12.36
Belarus,-56.96
Belgium,-23.79
Belize,50.0
Bhutan,-37.3
Bolivia,-18.37
Bosnia and Herzegovina,50.0
Botswana,6.64
Brazil,12.73
Bulgaria,-27.08
Burkina Faso,-32.96
Cameroon,-14.34
Canada,-93.86
Caspian Sea,-19.7
Chad,-10.02
Chile,-26.6
China,-42.94
Colombia,-18.97
Croatia,50.0
Cyprus,-5.86
Czech Republic,-35.05
Denmark,-59.15
Djibouti,-12.42
Ecuador,-29.4
Egypt,-5.12
Eritrea,29.3
Estonia,-100.0
Ethiopia,-31.11
Finland,-100.0
France,-4.89
Georgia,-27.24
Germany,-37.78
Greece,9.16
Guatemala,11.7
Guernsey,16.54
Hungary,-11.44
Iceland,-100.0
India,-5.38
Iran,-13.51
Iraq,-17.59
Ireland,-22.0
Isle of Man,-54.85
Israel,-11.12
Italy,27.73
Japan,-58.67
Jersey,17.71
Jordan,-14.93
Kazakhstan,-52.74
Kenya,-45.67
Kosovo,29.16
Kuwait,-2.58
Kyrgyzstan,-18.88
Laos,-51.04
Latvia,-99.93
Lebanon,-17.13
Lesotho,-10.22
Libya,25.52
Lithuania,-86.87
Luxembourg,-27.23
Macedonia,14.64
Malawi,-45.65
Mali,-47.03
Mexico,-37.78
Moldova,-30.35
Mongolia,-97.39
Montenegro,50.0
Morocco,14.08
Mozambique,-11.46
Myanmar,-22.29
Namibia,-60.88
Nepal,-23.58
Netherlands,-32.4
New Zealand,1.59
Niger,-20.01
Nigeria,-19.48
North Korea,-34.28
Norway,-100.0
Oman,50.0
Pakistan,17.59
Paraguay,4.31
Peru,-18.11
Poland,-23.32
Portugal,50.0
Romania,-16.33
Russia,-91.3
Saudi Arabia,26.95
Serbia,14.73
Slovakia,-15.54
Slovenia,1.79
Somalia,50.0
South Africa,-20.55
South Korea,-19.38
South Sudan,-18.98
Spain,50.0
Sudan,20.95
Swaziland,-2.7
Sweden,-97.76
Switzerland,-26.0
Syria,-31.49
Tajikistan,-46.22
Tanzania,-35.33
Thailand,-36.84
Tunisia,50.0
Turkey,-11.5
Turkmenistan,-38.96
Ukraine,-25.56
United Kingdom,-41.62
United States,-31.42
Uruguay,20.62
Uzbekistan,-29.65
Venezuela,-30.87
Vietnam,-38.69
Yemen,42.58
Zambia,-18.77
Zimbabwe,-18.21
