nation-name,37tg
Afghanistan,-76.42
Albania,50.0
Angola,-47.78
Argentina,-42.99
Armenia,-92.31
Australia,-84.87
Azerbaijan,-98.03
Bangladesh,3.67
Belize,3.88
Benin,42.47
Bhutan,-91.65
Bolivia,-34.81
Botswana,-54.51
Brazil,-19.47
Bulgaria,-49.86
Burkina Faso,50.0
Burundi,-64.8
Cambodia,-44.32
Cameroon,10.58
Canada,-100.0
Caspian Sea,-99.36
Central African Republic,-8.07
Chad,50.0
Chile,-70.27
China,-87.97
Colombia,-21.93
Costa Rica,50.0
C??te d'Ivoire,26.81
Cuba,-14.37
Democratic Republic of the Congo,-31.68
Djibouti,-56.21
Dominican Republic,50.0
East Timor,-33.55
Ecuador,-32.52
Egypt,-47.55
El Salvador,40.04
Eritrea,50.0
Ethiopia,-66.05
Finland,-100.0
France,-86.66
French Guiana,8.83
Gabon,-20.41
Gambia,-64.78
Georgia,-100.0
Ghana,16.06
Greece,50.0
Guatemala,7.43
Guinea,34.25
Guinea-Bissau,6.24
Guyana,50.0
Haiti,50.0
Honduras,27.43
Iceland,-100.0
India,-26.03
Indonesia,-21.7
Iran,-67.25
Iraq,-73.03
Italy,-65.26
Japan,-88.67
Kazakhstan,-99.71
Kenya,-27.25
Kosovo,6.82
Kuwait,-47.33
Kyrgyzstan,-99.03
Laos,-75.49
Liberia,8.9
Macedonia,47.6
Madagascar,-47.87
Malawi,-60.38
Malaysia,-10.98
Mali,34.79
Mauritania,-0.19
Mexico,-60.37
Mongolia,-100.0
Morocco,-96.96
Mozambique,-44.07
Myanmar,-75.91
Namibia,-73.66
Nepal,-39.1
Nicaragua,2.51
Niger,50.0
Nigeria,37.94
North Korea,-99.89
Norway,-100.0
Pakistan,-43.52
Panama,50.0
Paraguay,-37.17
Peru,-33.24
Philippines,-5.46
Portugal,32.92
Republic of Congo,-22.06
Russia,-100.0
Rwanda,-77.74
Saudi Arabia,-100.0
Senegal,20.49
Sierra Leone,17.75
Singapore,-1.0
Somalia,50.0
South Africa,-52.59
South Korea,-92.66
South Sudan,-11.61
Spain,-34.04
Sri Lanka,-6.72
Sudan,50.0
Suriname,50.0
Sweden,-100.0
Switzerland,-98.46
Syria,-88.64
Tajikistan,-91.03
Tanzania,-69.38
Thailand,-53.46
Togo,-2.18
Turkey,-54.29
Turkmenistan,-99.63
Uganda,-18.06
Ukraine,-100.0
United States,-86.72
Uruguay,-51.64
Uzbekistan,-99.99
Venezuela,50.0
Vietnam,-67.83
Zambia,-67.25
Zimbabwe,-61.72
