nation-name,150tg
Argentina,-92.56
Armenia,-100.0
Australia,-78.74
Austria,-100.0
Azerbaijan,-100.0
Bangladesh,-100.0
Belarus,-100.0
Belize,-100.0
Benin,-100.0
Bhutan,-100.0
Bolivia,-99.54
Bosnia and Herzegovina,-100.0
Botswana,-95.32
Brazil,-97.75
Bulgaria,-100.0
Burundi,-40.35
Cambodia,-100.0
Cameroon,-93.78
Canada,-100.0
Caspian Sea,-100.0
Central African Republic,-74.77
Chile,-72.17
China,-99.98
Colombia,-88.39
C??te d'Ivoire,-100.0
Croatia,-100.0
Democratic Republic of the Congo,-86.28
Djibouti,-77.02
Egypt,-93.51
El Salvador,-100.0
Equatorial Guinea,-93.02
Ethiopia,-59.23
Finland,-100.0
France,-100.0
Gabon,-84.76
Georgia,-100.0
Germany,-100.0
Guatemala,-98.74
Honduras,-100.0
Hungary,-100.0
India,-97.82
Indonesia,-97.73
Iran,-99.14
Iraq,-98.32
Italy,-100.0
Japan,-100.0
Kazakhstan,-100.0
Kenya,-100.0
Kosovo,-100.0
Kuwait,-100.0
Kyrgyzstan,-100.0
Laos,-98.82
Lesotho,-46.36
Liberia,-100.0
Malaysia,-98.12
Mexico,-93.69
Moldova,-100.0
Mongolia,-100.0
Montenegro,-100.0
Mozambique,-95.61
Myanmar,-99.96
Namibia,-99.96
Nepal,-99.28
Nicaragua,-100.0
Niger,-100.0
Nigeria,-99.95
North Korea,-100.0
Norway,-100.0
Oman,-100.0
Pakistan,-93.04
Paraguay,-100.0
Republic of Congo,-80.09
Romania,-100.0
Russia,-100.0
Rwanda,-19.07
Serbia,-100.0
Singapore,-96.46
Slovakia,-100.0
Slovenia,-100.0
South Africa,-75.66
South Korea,-100.0
South Sudan,-100.0
Spain,-100.0
Swaziland,-100.0
Sweden,-100.0
Switzerland,-100.0
Tanzania,-76.57
Thailand,-99.28
Turkey,-100.0
Turkmenistan,-100.0
Uganda,-42.88
Ukraine,-100.0
United Arab Emirates,-100.0
United States,-99.96
Uruguay,-69.96
Uzbekistan,-100.0
Venezuela,-58.19
Vietnam,-95.62
Zambia,-80.62
Zimbabwe,-97.32
