nation-name,5tg
Argentina,5.39
Armenia,18.9
Australia,-41.23
Austria,37.95
Azerbaijan,12.15
Bangladesh,0.57
Belize,95.14
Benin,3.07
Bhutan,-43.53
Bolivia,-0.91
Bosnia and Herzegovina,21.89
Botswana,3.34
Brazil,-0.29
Bulgaria,3.77
Burundi,-6.66
Cambodia,-6.28
Cameroon,1.62
Canada,-67.87
Caspian Sea,22.4
Central African Republic,-3.28
Chile,-70.91
China,-12.61
Colombia,-8.22
C??te d'Ivoire,4.46
Croatia,61.43
Democratic Republic of the Congo,-9.57
Djibouti,-0.91
Egypt,10.23
El Salvador,41.34
Equatorial Guinea,1.82
Ethiopia,-6.56
Finland,-90.94
France,26.17
Gabon,0.29
Georgia,17.27
Germany,-57.72
Guatemala,28.37
Honduras,64.08
Hungary,92.21
India,-5.86
Indonesia,3.97
Iran,9.35
Iraq,16.03
Italy,-10.87
Japan,-9.17
Kazakhstan,-21.31
Kenya,-76.61
Kosovo,3.87
Kuwait,-100.0
Kyrgyzstan,-100.0
Laos,-4.95
Lesotho,-6.86
Liberia,3.19
Malaysia,1.15
Mexico,-7.13
Moldova,8.06
Mongolia,-46.66
Montenegro,4.71
Mozambique,-0.67
Myanmar,-5.01
Namibia,-14.85
Nepal,1.68
Nicaragua,6.11
Niger,-10.55
Nigeria,4.09
North Korea,-24.81
Norway,-99.92
Oman,-100.0
Pakistan,-19.27
Paraguay,8.07
Republic of Congo,0.99
Romania,44.99
Russia,-42.98
Rwanda,-22.73
Serbia,9.85
Singapore,1.47
Slovenia,78.17
South Africa,-3.71
South Korea,15.16
South Sudan,-26.75
Spain,8.41
Swaziland,-1.78
Sweden,-87.69
Switzerland,-40.36
Tanzania,-0.87
Thailand,-4.61
Turkey,11.55
Turkmenistan,15.5
Uganda,-30.68
Ukraine,22.13
United Arab Emirates,-100.0
United States,-6.79
Uruguay,17.67
Uzbekistan,11.2
Venezuela,-4.49
Vietnam,-6.86
Zambia,-2.41
Zimbabwe,4.36
