nation-name,5tg
Afghanistan,-9.59
Albania,-12.31
Algeria,14.65
Angola,-1.1
Argentina,-8.96
Armenia,1.76
Australia,4.42
Austria,-5.78
Azerbaijan,-3.17
Bangladesh,-6.72
Belarus,48.23
Belgium,3.14
Belize,28.39
Bhutan,0.93
Bolivia,1.14
Bosnia and Herzegovina,-0.02
Botswana,0.57
Brazil,3.98
Bulgaria,-7.56
Burkina Faso,-2.58
Cameroon,-5.61
Canada,-20.93
Caspian Sea,-9.14
Chad,-7.66
Chile,-15.89
China,-7.68
Colombia,-2.61
Croatia,8.47
Cyprus,-7.88
Czech Republic,-7.21
Denmark,27.24
Djibouti,-16.29
Ecuador,-2.66
Egypt,-1.51
Eritrea,11.99
Estonia,53.59
Ethiopia,-6.66
Finland,-47.72
France,-4.22
Georgia,9.3
Germany,1.32
Greece,-8.09
Guatemala,14.64
Guernsey,24.21
Hungary,10.17
Iceland,-87.48
India,-8.7
Iran,-10.55
Iraq,-10.16
Ireland,3.72
Isle of Man,-5.05
Israel,-4.99
Italy,-5.47
Japan,-2.69
Jersey,26.14
Jordan,-7.08
Kazakhstan,-4.77
Kenya,-8.67
Kosovo,-16.77
Kuwait,-3.43
Kyrgyzstan,-1.97
Laos,-10.25
Latvia,56.92
Lebanon,-6.98
Lesotho,-22.1
Libya,-4.57
Lithuania,52.07
Luxembourg,-2.99
Macedonia,-14.39
Malawi,-13.92
Mali,-9.57
Mexico,-11.08
Moldova,8.52
Mongolia,-26.25
Montenegro,-11.31
Morocco,-0.16
Mozambique,4.77
Myanmar,-4.96
Namibia,-6.96
Nepal,-12.6
Netherlands,9.28
New Zealand,5.14
Niger,-13.92
Nigeria,-3.48
North Korea,-6.4
Norway,-60.3
Oman,-64.83
Pakistan,-7.07
Paraguay,3.86
Peru,1.68
Poland,38.41
Portugal,-0.85
Romania,10.61
Russia,3.78
Saudi Arabia,1.11
Serbia,-8.55
Slovakia,12.94
Slovenia,3.79
Somalia,39.66
South Africa,-14.57
South Korea,-8.39
South Sudan,0.02
Spain,-2.09
Sudan,5.29
Swaziland,-6.46
Sweden,-40.81
Switzerland,-5.55
Syria,-10.56
Tajikistan,-8.21
Tanzania,-9.33
Thailand,-2.54
Tunisia,-2.29
Turkey,-10.72
Turkmenistan,-12.19
Ukraine,13.79
United Arab Emirates,-74.78
United Kingdom,0.43
United States,-9.29
Uruguay,-7.08
Uzbekistan,-10.79
Venezuela,-2.6
Vietnam,-11.83
Yemen,15.6
Zambia,1.17
Zimbabwe,7.52
