nation-name,27tg
Afghanistan,-83.31
Albania,50.0
Angola,-49.21
Argentina,-46.77
Armenia,-100.0
Australia,-72.85
Azerbaijan,-100.0
Bangladesh,27.47
Belize,26.3
Benin,41.79
Bhutan,-63.21
Bolivia,-16.47
Botswana,-69.1
Brazil,-13.34
Bulgaria,-52.77
Burkina Faso,39.06
Burundi,-61.25
Cambodia,-29.87
Cameroon,29.03
Canada,-100.0
Caspian Sea,-99.81
Central African Republic,-1.21
Chad,50.0
Chile,-53.99
China,-76.4
Colombia,-7.26
Costa Rica,4.72
C??te d'Ivoire,31.6
Cuba,-38.94
Democratic Republic of the Congo,-20.7
Djibouti,-35.01
Dominican Republic,50.0
East Timor,-14.62
Ecuador,-17.88
Egypt,-42.02
El Salvador,50.0
Ethiopia,-43.39
Finland,-100.0
France,-45.19
French Guiana,15.71
Gabon,-9.39
Gambia,-56.44
Georgia,-100.0
Ghana,33.42
Greece,5.07
Guatemala,44.81
Guinea,6.18
Guinea-Bissau,10.02
Guyana,50.0
Haiti,50.0
Honduras,48.15
Iceland,-100.0
India,-13.32
Indonesia,-6.69
Iran,-71.24
Iraq,-69.53
Italy,-40.97
Japan,-86.13
Kazakhstan,-99.07
Kenya,-49.9
Kosovo,50.0
Kuwait,-62.11
Kyrgyzstan,-100.0
Laos,-57.14
Liberia,15.39
Macedonia,50.0
Madagascar,-33.85
Malawi,-52.76
Malaysia,-14.66
Mali,9.93
Mauritania,-15.07
Mexico,-64.54
Mongolia,-100.0
Morocco,-82.03
Mozambique,-41.68
Myanmar,-61.81
Namibia,-92.24
Nepal,-24.19
Nicaragua,12.06
Niger,50.0
Nigeria,31.49
North Korea,-97.76
Norway,-100.0
Pakistan,-43.23
Panama,50.0
Paraguay,-37.15
Peru,-18.7
Philippines,-15.04
Portugal,50.0
Republic of Congo,-14.61
Russia,-100.0
Rwanda,-60.48
Saudi Arabia,-100.0
Senegal,2.27
Sierra Leone,-4.51
Singapore,-1.22
Somalia,50.0
South Africa,-55.97
South Korea,-67.96
South Sudan,-1.05
Spain,20.73
Sri Lanka,-5.39
Sudan,50.0
Suriname,50.0
Sweden,-100.0
Switzerland,-83.95
Syria,-87.96
Tajikistan,-99.93
Tanzania,-51.88
Thailand,-32.73
Togo,42.7
Turkey,-64.95
Turkmenistan,-88.96
Uganda,-25.29
Ukraine,-100.0
United States,-72.59
Uruguay,-47.92
Uzbekistan,-93.56
Venezuela,50.0
Vietnam,-44.67
Zambia,-53.39
Zimbabwe,-55.28
