nation-name,47tg
Afghanistan,-94.91
Albania,50.0
Angola,-55.09
Argentina,-55.98
Armenia,-99.51
Australia,-98.06
Azerbaijan,-99.85
Bangladesh,-26.57
Belize,-35.9
Benin,50.0
Bhutan,-94.66
Bolivia,-39.83
Botswana,-66.71
Brazil,-27.22
Bulgaria,-65.27
Burkina Faso,50.0
Burundi,-82.53
Cambodia,-66.67
Cameroon,2.83
Canada,-100.0
Caspian Sea,-100.0
Central African Republic,-12.65
Chad,50.0
Chile,-56.24
China,-97.38
Colombia,-32.86
Costa Rica,50.0
C??te d'Ivoire,14.31
Cuba,-61.78
Democratic Republic of the Congo,-40.47
Djibouti,-76.12
Dominican Republic,38.12
East Timor,-52.49
Ecuador,-37.46
Egypt,-58.47
El Salvador,20.34
Ethiopia,-79.26
Finland,-100.0
France,-83.64
French Guiana,23.96
Gabon,-27.52
Gambia,-84.97
Georgia,-100.0
Ghana,23.87
Greece,-8.96
Guatemala,-38.9
Guinea,32.34
Guinea-Bissau,17.66
Guyana,50.0
Haiti,50.0
Honduras,-2.15
Iceland,-100.0
India,-42.38
Indonesia,-26.69
Iran,-94.46
Iraq,-82.76
Italy,-72.1
Japan,-97.6
Kazakhstan,-100.0
Kenya,-66.37
Kosovo,-64.96
Kuwait,-86.01
Kyrgyzstan,-100.0
Laos,-88.29
Liberia,-11.71
Macedonia,-51.59
Madagascar,-54.85
Malawi,-78.92
Malaysia,-29.37
Mali,50.0
Mauritania,26.51
Mexico,-78.79
Mongolia,-100.0
Morocco,-97.49
Mozambique,-62.0
Myanmar,-89.82
Namibia,-65.11
Nepal,-62.93
Nicaragua,9.52
Niger,50.0
Nigeria,14.75
North Korea,-100.0
Norway,-100.0
Pakistan,-70.68
Panama,50.0
Paraguay,-54.17
Peru,-41.6
Philippines,-33.5
Portugal,-20.45
Republic of Congo,-35.45
Russia,-100.0
Rwanda,-92.6
Saudi Arabia,-100.0
Senegal,21.84
Sierra Leone,5.26
Singapore,-28.9
Somalia,50.0
South Africa,-82.26
South Korea,-100.0
South Sudan,-45.18
Spain,-66.77
Sri Lanka,-18.85
Sudan,50.0
Suriname,50.0
Sweden,-100.0
Switzerland,-97.99
Syria,-89.58
Tajikistan,-99.97
Tanzania,-86.22
Thailand,-72.13
Togo,30.79
Turkey,-50.64
Turkmenistan,-100.0
Uganda,-64.24
Ukraine,-100.0
United States,-76.9
Uruguay,-71.99
Uzbekistan,-100.0
Venezuela,50.0
Vietnam,-86.23
Zambia,-83.38
Zimbabwe,-78.44
