nation-name,37tg
Afghanistan,-28.35
Albania,50.0
Algeria,50.0
Angola,-80.79
Argentina,-23.09
Armenia,-9.36
Australia,-10.4
Austria,-59.28
Azerbaijan,-20.5
Bangladesh,10.75
Belarus,-97.11
Belgium,-55.25
Belize,50.0
Bhutan,-79.0
Bolivia,-32.63
Bosnia and Herzegovina,50.0
Botswana,-64.88
Brazil,-27.65
Bulgaria,35.3
Burkina Faso,11.58
Cameroon,-19.75
Canada,-99.15
Caspian Sea,-35.68
Chad,4.3
Chile,-55.52
China,-56.68
Colombia,-46.58
Croatia,37.92
Cyprus,22.8
Czech Republic,-67.89
Denmark,-100.0
Djibouti,-28.5
Ecuador,-45.08
Egypt,5.21
Eritrea,-27.91
Estonia,-100.0
Ethiopia,-59.23
Finland,-100.0
France,-19.29
Georgia,-4.33
Germany,-73.86
Greece,50.0
Guatemala,18.76
Guernsey,0.41
Hungary,-23.36
Iceland,-100.0
India,-7.56
Iran,-23.42
Iraq,-20.92
Ireland,-66.8
Isle of Man,-86.69
Israel,5.87
Italy,13.89
Japan,-62.61
Jersey,1.32
Jordan,4.74
Kazakhstan,-77.02
Kenya,-75.47
Kosovo,34.44
Kuwait,37.79
Kyrgyzstan,-50.53
Laos,-51.98
Latvia,-100.0
Lebanon,-4.1
Lesotho,-17.02
Libya,50.0
Lithuania,-100.0
Luxembourg,-56.18
Macedonia,48.87
Malawi,-47.72
Mali,-19.69
Mexico,-37.92
Moldova,-32.36
Mongolia,-99.81
Montenegro,50.0
Morocco,50.0
Mozambique,16.65
Myanmar,-28.24
Namibia,-90.95
Nepal,-57.63
Netherlands,-56.18
New Zealand,-12.07
Niger,24.82
Nigeria,-21.42
North Korea,-98.69
Norway,-100.0
Pakistan,10.09
Paraguay,-0.98
Peru,-26.44
Poland,-73.16
Portugal,50.0
Romania,-13.53
Russia,-92.89
Saudi Arabia,17.86
Serbia,9.12
Slovakia,-33.67
Slovenia,-21.82
Somalia,42.01
South Africa,-16.44
South Korea,-65.22
South Sudan,-16.31
Spain,50.0
Sudan,-14.03
Swaziland,49.89
Sweden,-100.0
Switzerland,-59.43
Syria,-33.39
Tajikistan,-56.59
Tanzania,-58.5
Thailand,-46.57
Tunisia,50.0
Turkey,12.7
Turkmenistan,-44.17
Ukraine,-47.21
United Kingdom,-73.36
United States,-49.61
Uruguay,-24.58
Uzbekistan,-38.69
Venezuela,-53.76
Vietnam,-43.61
Yemen,18.51
Zambia,-39.52
Zimbabwe,-39.53
