iso3,country,crop_kcals,crop_fat,crop_protein,crop_kcals_year_1,crop_fat_year_1,crop_protein_year_1,crop_kcals_year_2,crop_fat_year_2,crop_protein_year_2,crop_kcals_year_3,crop_fat_year_3,crop_protein_year_3,crop_kcals_year_4,crop_fat_year_4,crop_protein_year_4,crop_kcals_year_5,crop_fat_year_5,crop_protein_year_5,crop_kcals_year_6,crop_fat_year_6,crop_protein_year_6,crop_kcals_year_7,crop_fat_year_7,crop_protein_year_7,crop_kcals_year_8,crop_fat_year_8,crop_protein_year_8,crop_kcals_year_9,crop_fat_year_9,crop_protein_year_9,crop_kcals_year_10,crop_fat_year_10,crop_protein_year_10
CAN,Canada,51248900.16378826,7238531.271831354,6704649.6342649525,109091085.84705012,17605592.52882012,15810475.632087965,108046181.6468719,17516961.881763134,15789026.619319888,107807467.1957387,17500893.7727446,15786455.737663966,107859131.36074328,17512178.17894549,15789799.074647916,108012678.60435233,17542585.848962996,15794936.605860274,107614653.0447772,17472951.9277684,15705500.258078672,97716299.8506415,15683419.389607644,14131114.221556468,98130938.98344456,15691602.701245526,14129799.92049468,96045850.88430522,15253859.3369091,13747423.710004766,80138484.15927045,12393116.37691673,11233735.639731716
CHE,Switzerland,3229182.227139058,376765.8750424578,327803.0743682236,2019491.417650606,222940.55316007475,178756.291293687,1912687.3250834693,186330.5393575305,173959.03122811153,1892581.249478038,180056.7059842924,173305.42676796982,1916754.9655691932,184817.38529337343,175082.56246553056,1973037.4531860373,194740.58081116315,179679.2774011344,2137401.879438131,221935.98765975333,194425.81504204104,2363457.376421837,252908.41056583583,217924.7201052649,2501606.3426454416,273064.2578500744,236881.1819690072,2591013.9876322127,293904.2657450441,248884.4527218179,2672369.98413979,307399.10630635807,262235.9722517533
CHL,Chile,9362803.242667915,963802.5916632932,963307.088091236,8000897.027888243,779240.418414371,793957.6001136774,5565786.122369369,503703.5263835814,540215.8892448446,5291151.918700089,470214.58019898005,516374.9959898405,5282542.149575057,469061.12830434216,513254.1155139423,5480736.264754281,492986.39602976665,534624.8989488551,5350041.157606214,481615.0107133627,524731.9714361546,5962240.811390793,557632.133906856,590391.4476392437,6474133.169943376,610249.6650257726,644287.6139009533,7246137.441211202,694149.1356068578,737461.3997166842,8285474.035676225,821377.910798082,858128.4652546406
CHN,China,906871884.9407164,91823456.13753518,124787646.93536688,830588934.7389374,81441259.23979001,106592041.84988846,768730382.9215817,67801108.0348937,91486289.54977316,755557592.3251197,65478628.77443668,87520011.27412231,759231678.0437361,66992740.83736738,87859082.86843729,762134958.0688317,68071094.26513436,88075073.21237051,767980557.7466943,68160718.1514695,89914163.07258028,784198604.6151016,70871333.70206726,93464009.49708386,809461316.4633217,75399043.61995459,100317812.41576214,839186407.5811653,80796331.8493154,107284933.41837654,864412998.6658158,84742020.90051745,114928018.70366225
CIV,Cote d'Ivoire,11002154.993228124,1412546.864050547,654903.2972313749,11209166.324839786,1679927.5776590644,619263.9863196564,12738932.718670843,2227002.842202112,713274.5302388519,12763287.550922677,2235438.124027665,715546.5329033961,12783912.67422519,2238921.9829111,717593.3134188931,12550285.493995007,2142753.5915646083,706492.6428273213,12727201.004199484,2174571.374660626,723815.9418216064,12435615.453095514,2034133.425079744,715314.7657511474,12114790.49102661,1904373.397346704,698991.4996946048,11826140.875742272,1820205.76896812,676093.3425477016,11232787.071608275,1585874.852717148,646169.6289572602
CMR,Cameroon,11129295.93312211,1278203.7132057906,964963.282714206,10522377.758749012,1299939.8698392557,861744.7517580284,10619823.956429804,1335628.6468174078,867464.9780564255,10618845.607991075,1335171.491475476,867712.4215479953,10611620.906854486,1331311.589664709,867736.2744863932,10607739.571603157,1324995.1903048083,868945.8074081348,10666711.78244498,1330423.716004694,876339.9497971861,10714590.242995651,1318080.9806690137,887625.0858922325,10738082.356361102,1304392.3646866626,895164.5008674649,10790414.026139116,1299156.124466298,905159.053218724,10791790.7518602,1267633.1471140748,915042.074842218
COD,DR Congo,19543060.90235714,1045127.1264483688,1075830.303551617,19217720.77406432,1023310.4131648462,1032711.0377165418,19037512.04612717,994220.9511050488,1029694.2157633686,19001388.78679547,990086.2431015066,1029740.661803222,19001160.06777944,989324.568964073,1029828.2532872616,19018999.42238875,994063.497808421,1030584.2107204056,19060455.096607845,1002816.5487105798,1032941.5086417706,19125424.10890864,1008768.7822951772,1038360.0374040648,19208044.95541634,1021732.9124264924,1044431.6128629462,19307505.366542872,1034348.3242705674,1050884.649712026,19369034.561290488,1039426.4222019268,1056097.706382724
COG,Congo Republic,1394468.3114395496,173723.61317941378,69996.69083013713,1125304.1753163242,151209.52485660126,36846.08778659369,949083.0585827224,97949.38604547278,33094.904675214384,919664.1993454638,89203.61113595105,32815.14235656529,912912.639669244,85479.88661893399,32960.35207890844,934982.6711852478,91536.15976720404,33926.622087969685,981395.2462199028,105606.86171129475,35750.0762551828,1034005.918730512,115831.83714825477,39379.14531336778,1123011.6887552226,136635.21174095978,44318.923305194425,1215333.28335568,153761.35259045742,50781.75815688032,1272571.0283449532,162344.00318312403,55516.26085974936
COK,Cook Islands,1636.3544676552249,413.5366090077857,57.81419861448122,1356.717845429282,348.6710255541583,51.90232110229495,1080.405592038556,265.09565153546174,47.37283756774119,1062.7085861010487,257.264312967016,47.1927750991467,1077.549887517462,269.71451264003264,46.8227624556757,1114.3053594700636,281.94546660866854,47.4515539689027,1153.667673676607,287.0294391981169,48.66250250436155,1232.193325215494,303.92679162991936,50.27258858543373,1352.0204669638667,327.31942468289753,53.27851158480992,1452.0563181645518,357.59278436337,55.23162637976999,1513.3974940353223,376.77635233362327,56.292826602050525
COL,Colombia,25327214.919332948,3438974.580232334,1797850.1671822227,18563647.99866478,3091530.484622565,836255.9448274567,18598090.02133933,3232763.738006815,782531.9241502511,18558183.78130095,3228386.409415001,776321.6676710459,18614202.76524153,3234994.357800501,783598.5493609993,18860898.81149509,3297833.7887512795,800285.7891967153,18655964.55370948,3197369.634667769,807520.2040189792,19284472.93555483,3223036.1850647256,899640.0080790877,20552676.99449288,3252042.7608786263,1094083.2608417862,21726919.257469825,3271375.766506382,1275443.4207367972,23053772.31515848,3273151.8535153214,1491281.325305584
COM,Comoros,135587.31340929313,24917.58899999528,8900.454551806331,132644.13654686947,23553.72645018642,8933.777181841668,125821.07215868431,20933.4164117802,8701.745939029048,124464.85507278152,20475.34266984596,8617.681376430266,124099.5589340597,20290.60284777935,8618.415015519106,124820.92976759764,20597.944281594097,8623.68767806881,126468.8432039653,21301.079006674347,8651.557607053383,127887.00510760868,21862.88727243195,8691.102136684342,130209.22287456867,22835.27100929695,8729.979995175016,132089.9840630705,23631.266286673992,8756.269744993559,133626.56265233547,24168.064104121964,8839.968132539749
CPV,Cabo Verde,91187.4115849236,14805.464695889068,8137.199120488027,46965.10070649924,3494.347633069201,5435.330619423472,26698.03136894946,3165.999444069977,2867.790802535212,24501.38111804548,3001.875292026516,2644.6451772949545,28734.639208741693,4774.175615971943,2625.441733117802,33927.547493613856,6086.119447097309,2900.7089359268493,38253.32332317825,7701.146436713318,2950.454374809018,47973.81100750193,9580.645565031891,3683.723155983912,59038.6995407028,12196.250562824183,4323.928831612034,67084.11734789959,12095.586103957125,5496.228579803971,79003.6624170773,13279.07309861293,6794.382006975614
CRI,Costa Rica,3401813.996261321,396377.51546607714,305529.7322559074,582876.8488917362,-22180.43608297897,39097.76525057295,615864.5843704134,8090.922739397042,27262.72790793311,367656.5381448504,-40818.26541166519,18981.23905466076,1541829.1306551115,215473.7854703464,45834.293903065125,811417.0241814272,51789.80863926908,34137.75491497069,1280052.618024332,150328.6013981599,48346.014029756654,-2074930.7491062733,-608281.2263467478,-2995.234374142463,-189983.4150064969,-239844.21569089167,83922.52391102246,1285301.590162606,43907.95738858791,156219.20944422338,3348212.180663758,450013.8203747099,242980.0805663223
CUB,Cuba,4374031.967169078,154601.55664848234,318753.5591015003,3835715.0975187593,120509.27194078147,203709.57257539852,3519245.6708064354,77466.25203969984,144469.04341374995,3545421.7018252537,70333.68171434374,138703.37661320015,3510111.3821727936,70628.50138734619,138195.2831039674,3558184.4847597587,73275.79076820354,144233.57372716456,3519347.638194697,76774.43957236182,151477.11658813228,3583448.948897436,89086.29724641424,185636.95342435717,3606775.1831797496,101235.26723286638,205464.6876343376,3609949.8384096418,115455.41621068504,221831.82734529115,3881614.4635074143,134050.3255401019,256739.8482989734
CYP,Cyprus,716888.9882089045,84629.52751703205,71651.78980297533,135291.25279697502,17658.71102351208,13253.011178133112,124567.40427701418,16869.033904314147,11767.371820509596,123371.01820206642,16692.18294316723,11535.020309652282,116570.75164400108,17911.624069193225,10937.63337999312,156899.45093560833,22839.378472038567,14382.500200863718,273709.03182769805,35431.62175032406,26235.925881283005,327894.60214823426,40339.47288406483,31930.815898689794,317600.566977948,40231.15812831584,30820.20239928894,484969.5405589073,56801.42816880668,48579.34965360967,402011.5098465772,52325.201670762,39157.46077141855
CZE,Czechia,8804058.126862098,1157397.388508454,973153.0736263643,11578362.772552304,1418942.0206499544,1306883.992097634,11545991.372952169,1413265.76548206,1304787.6354763964,11540579.795792475,1411664.738967307,1304459.463603009,11545045.164243111,1412945.345320525,1305053.2122359995,11574336.47643672,1418541.6663830045,1307379.0497246522,11606861.84667558,1443464.6547825804,1310650.3562604086,10678599.563017188,1334259.320501202,1197254.1591179222,9831655.134596571,1221590.775726714,1096407.1600825435,10143518.466828091,1286106.5438211504,1135302.4186184632,9944005.902392227,1245597.4476732982,1110798.5408989636
DEU,Germany,76046365.83321816,11435287.147257036,8294431.281273875,68868405.37599728,8797450.662190631,6978873.85858692,67330098.3764253,8323457.287645553,6766926.283562697,67074223.39507006,8249969.133689077,6727006.466360596,66920472.017665006,8165461.816126087,6700547.718387122,67401611.73036584,8246278.679117609,6734384.15259102,69729813.22592725,8796395.503648652,7025024.660325625,70751958.68613815,9227353.96733716,7226559.696980816,70160548.39458185,9189596.13936666,7222628.241034461,72677723.19929716,10026040.088720296,7587534.071375237,71098551.86118533,9838821.004551273,7435245.227199308
DJI,Djibouti,1187972.1571414578,459144.8233415001,32987.57727253407,525885.4509250141,218911.80327447847,5818.243346263379,207972.43246526108,82938.06135015981,4776.7636080997545,152728.8812668974,59774.4465757008,4177.721439429572,168525.88539513922,65018.84087632054,4332.509394638431,270814.769310292,116738.77155644858,559.1137103495519,444845.7425312935,182231.51962038543,8116.848719486535,504313.7165036262,202728.9762996829,10960.677895337429,644026.14135985,261543.3252481268,12476.083085942835,843437.7822791319,336978.2539093171,18151.85755300373,915836.9023151624,365833.69046486006,19917.232491215185
