ISO3,crop_kcals_baseline_domestic_supply,crop_kcals_baseline_domestic_supply_year_1,crop_kcals_baseline_domestic_supply_year_2,crop_kcals_baseline_domestic_supply_year_3,crop_kcals_baseline_domestic_supply_year_4,crop_kcals_baseline_domestic_supply_year_5,crop_kcals_baseline_domestic_supply_year_6,crop_kcals_baseline_domestic_supply_year_7,crop_kcals_baseline_domestic_supply_year_8,crop_kcals_baseline_domestic_supply_year_9,crop_kcals_baseline_domestic_supply_year_10
LVA,1333855.7559451726,8207.346152944323,4622.7939324303525,4138.733804783185,4686.914834633994,8092.927844778956,18493.263149032144,49732.837596415295,266165.40135057876,507825.88275179395,287251.52717615565
MAR,14040945.75275227,3223212.005784771,3520626.2645794908,3271914.3669893052,4285996.29930747,7235225.02520573,10715338.222089777,11912271.515592301,7739922.451528464,7448595.456163183,8956548.15533947
MDA,1151616.972588732,961.3232634987398,671.7801378940204,604.9474231453911,1218.2582828606487,2950.878847368356,201037.6297088518,335380.72024242615,301398.5222103344,756845.7533288185,566334.7401009728
MDG,4864263.754047223,5631317.6908558775,1737402.988175866,279882.9799807016,251238.77223550892,314665.86474447715,808917.9412272011,1472744.918241613,2094884.9813680886,2478215.94745838,3864016.8136291774
MEX,67961273.57967997,7161221.9325121045,2685190.4676798997,2010576.6445834602,3042243.557100588,3942985.078433823,7796798.477477395,14935120.861038493,29412664.809850745,45488620.352174416,56999681.172562264
MKD,784967.3319055308,4253.800300312839,1001.3696854656494,941.5011279025746,29576.712321284715,174123.02699716238,564705.4609208567,550202.46715534,334654.9464722296,512857.62853320775,361514.57380556746
MLI,10757090.587013641,7949401.328849569,2368056.5777365384,1905481.127092502,3287759.188975408,3269306.105970002,8013807.043918151,8778622.87236383,8962895.054568782,10654724.017629603,9148227.767232927
MLT,76662.00233947148,2917.8563208610803,1807.2107518614487,1519.342783452476,3001.725882837383,8046.431107719407,21687.03943903213,31985.00992739224,33319.193861306354,41367.223849963055,35903.71167310496
MMR,26972336.94555919,14795163.140592804,227294.64042443963,219233.6779669278,328848.59945386613,2224699.7193632917,734818.940195813,1796990.0909812266,3435998.327552092,9787126.539149994,15765788.63725842
MNG,699093.3386715114,817.6063767422505,348.36457986149,215.41314418988384,556.2340478120378,1189.6330024761453,13115.23425306836,57249.24471760627,343084.24191899627,640007.3071750919,443673.4429964976
MOZ,5852190.69669798,5180013.663522993,1684598.164436683,870901.8644042239,724841.3474609375,938611.4568740204,1643660.0448481757,2491579.653646569,3156146.9195694523,4201444.2064373875,5159702.025463207
MRT,988967.626806254,366682.4161348655,104063.53446147633,199080.70268546382,913496.7502206072,119808.2261141439,277919.9367681627,423760.7368021424,583501.7213599335,592608.2769954507,658206.9759347031
MUS,446788.07440280926,118322.936768596,31696.340409842163,24830.10687139671,23941.04390449824,36446.05003075048,49367.488213520424,89386.18124938707,114715.08101677058,134559.2871952074,176554.0016146496
MWI,8985693.821397167,9547138.618623015,2547825.9035259015,312276.65788801346,242261.7357929827,1851544.858269336,1028708.8988532933,2405302.5981408195,3493291.658320987,5973980.460464548,7214827.642789794
MYS,46969069.972315036,35156221.61777905,11091781.813240668,7026428.296221168,8003948.724973306,11289920.829765156,19087833.890350964,21627899.01579981,32483718.620007653,43387779.2919233,47194081.053352445
NAM,566163.3500816883,390167.7139332442,102511.01089006319,17034.055108129603,18405.12943929319,22261.219407163855,60977.4164482081,120607.05491467933,219046.26417309913,325279.89926308894,350923.7962552103
NER,8839889.525829969,6284203.559008354,1609907.5543133472,851256.4869319663,1939424.4216576454,3706325.7353241714,4803581.946693288,5129246.238437124,8600327.803298147,9877233.85206211,9929783.65888499
NGA,76529399.32388063,47513402.48076925,14463218.55284758,9471982.844689937,9840330.395190416,17943473.932113014,22379303.67405093,36142024.788428105,47689386.16107183,58974009.389522515,71961376.301401
NIC,2475945.4293451305,1584426.686937991,492358.2325940537,122531.95924967478,202038.68002839098,334455.08571776154,626938.264572878,1187986.3304055217,1676512.0307046848,2116232.0012125475,2134505.7624921417
NLD,21267781.465153918,3546686.8143036203,1223958.9100432885,650609.743396999,751891.7263188062,1145707.6681422975,2818291.5185820856,6367087.22786502,8259147.1901135575,10330207.34106312,11889248.644245852
NOR,2215896.4024708103,313263.7294772216,115257.29967973195,60438.01915312119,63730.095034993596,76878.14138268353,120404.46106759457,278485.84418541746,430633.6886485706,597333.4073141388,1014206.342734029
NPL,12440796.71099474,3160059.105741096,486379.88774872327,694192.591776031,1209126.4208832274,1718381.5404023333,2294323.3985552564,3745837.2450014763,6337735.200139826,7913796.4083742965,8835843.36781381
NZL,1667289.7913919878,1070126.6550962008,607603.7637156874,605871.4553471183,475624.1129750949,482474.1724293524,640976.1449179677,844542.3394818443,1101957.1231857764,1411213.8226254487,1407699.0425992026
OMN,1504785.5285007511,861301.4562084109,320833.92701139586,286404.7322926826,623897.1311182664,778558.2311992047,434416.7010990511,538438.9983723965,702413.6469858261,1171658.2251937932,1007632.5809363557
PAK,55723228.35583241,15238568.110274617,13971705.845986893,13772303.20559822,17901325.166786816,19742012.831905726,27104771.280146014,36833905.55854035,42117536.289440416,45957953.26763848,51255084.12764537
PAN,1486468.6928130267,1719577.3522295312,1631941.2565595673,2098471.63910114,1030387.5282270854,1241511.6245868057,1153778.1333191388,3476507.16816926,2947806.029025864,1913132.557572908,1078292.8749309767
PER,13710261.877045467,10289495.30538487,2656243.2604725133,876878.3723149154,757266.7685948684,1728621.8184853427,1817168.4979311787,3423929.296029922,5114923.832711203,7359594.431238413,9754579.398412539
PHL,37595046.47716721,31530851.095502697,15273179.003041612,5789009.039868593,5244846.072946176,6960858.883508159,10211299.687606778,16624325.0270469,23167896.42299613,23107618.37990048,34106796.099679396
PNG,2870071.3588889353,261835.31797721115,203948.52040616018,204593.89212642415,151019.12858112753,126053.70662675516,138596.01330852814,154477.0617900671,123182.69514050041,219757.31590031585,185117.18759470823
POL,32683892.51652348,169188.9225138137,74522.40252264934,63461.71819304889,67851.50656472758,145012.65166410003,1425883.63678198,14489302.498007566,18847505.826656573,12941800.89908913,8261261.677966524
PRK,4947440.120086299,1977.915850060911,185.02915424457848,190.97038309435933,311.0083651058765,450.0991113411859,1594.0480800219827,4853.601472093221,48417.288494694105,205170.47132460593,1692722.5976875168
