iso3,crop_reduction_year_1,crop_reduction_year_2,crop_reduction_year_3,crop_reduction_year_4,crop_reduction_year_5,crop_reduction_year_6,crop_reduction_year_7,crop_reduction_year_8,crop_reduction_year_9,crop_reduction_year_10
ZMB,-1.6318855924327993,-75.76925607092845,-98.20508218910454,-97.59305502994924,-95.64654578990114,-90.3007234643356,-76.24262629545815,-64.89989840456371,-39.523281525190896,-28.41854049385894
ZWE,3.7881574768694097,-71.68945766158217,-93.95445587178946,-93.67226931134569,-93.41507769180576,-73.07014724265323,-50.53817210884164,-33.781730872021086,-13.864254146658867,4.724311445928169
AUT,-100.0,-100.0,-100.0,-100.0,-99.65850224545868,-93.30816530882962,-73.19313757954339,-62.941956823582615,-53.1044073641951,-24.19784250470897
BEL,-100.0,-100.0,-100.0,-100.0,-100.0,-99.74755354227727,-72.02250972121371,-68.09451462116328,-66.01304076357246,-59.29060806921648
BGR,-99.97190930667492,-100.0,-100.0,-100.0,-95.39348403861872,-62.24646621216065,-55.06908494495711,-66.55703914611694,-37.42290314227519,-51.406803486179925
HRV,-99.96842725537256,-99.68427255372572,-99.68427255372572,-97.74264869547628,-90.31923166398605,-69.76427973326183,-52.93264486780963,-51.34967041075736,-42.8277829150567,-58.98039269575391
CYP,-67.1,-6.789999999999999,-6.789999999999999,120.0,6.8064248618555006,-8.76986778395061,-10.5964600358403,-19.01274192419969,-12.063733504321604,-22.7953569004309
CZE,-100.0,-100.0,-100.0,-100.0,-99.71725767387596,-95.98763076943592,-65.83892510426983,-42.43885620623102,-48.3917137803937,-44.521032586960814
DNK,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-96.3829553816068,-28.195267755043552,-48.79648071103404,-91.29375665478372
EST,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-88.34586652570198,-61.99150831781121,-31.68927551111429
FIN,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-94.13794154520885,-46.09391040659945
FRA,-99.92711698271728,-99.56338987180044,-99.56338987180044,-97.87785153879982,-90.43087713531663,-70.84928025006704,-50.87953367007077,-42.24935322614962,-56.32803215754838,-45.89519466244766
DEU,-100.0,-100.0,-100.0,-100.0,-100.0,-99.80873694689424,-72.38469119994342,-54.253796658194666,-60.98352079025601,-49.85181947175178
GRC,-95.97262996645078,-84.88119525143675,-84.88119525143675,-67.05530722019152,-41.32850724837936,-25.81842661580479,-39.00955577320208,-40.4801608533802,-25.041666083586613,-29.906996966143645
HUN,-100.0,-100.0,-100.0,-100.0,-96.74336816924418,-75.22763355052406,-62.283041157646096,-64.37486174751952,-44.96049472864271,-43.86227927491584
IRL,-100.0,-100.0,-100.0,-100.0,-99.77871091594992,-90.8572754627966,-42.6779087597922,-55.984814591774615,-40.7577078728475,-4.079251473928579
ITA,-98.11482998431556,-91.52150538026936,-91.52150538026936,-85.52133669554972,-73.21881218263019,-57.47220844986127,-45.58864431472412,-32.36897315535958,-33.96759834181593,-28.338561727141283
LVA,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-81.8541979104417,-64.4368287784983,-86.2607394890271
LTU,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-93.4024860391122,-81.57865877122855,-64.20096927809247,-95.94727489300728
LUX,-100.0,-100.0,-100.0,-100.0,-100.0,-98.59236934396436,-66.55917138097118,-52.63355973082157,-69.31167114190534,-51.73576814041876
MLT,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
